,symbol,shortName,country,averageVolume,currentPrice,currency,sector,industry,profitMargins,operatingMargins,operatingCashflow,returnOnAssets,returnOnEquity,trailingEps,totalRevenue,revenuePerShare,revenueGrowth,grossProfits,netIncomeToCommon,totalCash,totalCashPerShare,totalDebt,bookValue,marketCap,enterpriseValue,trailingPE,earningsQuarterlyGrowth,forwardPE,pegRatio,priceToSalesTrailing12Months,priceToBook,enterpriseToRevenue,beta,fiftyTwoWeekHigh,fiftyTwoWeekLow,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendYield,fiveYearAvgDividendYield
58,VJBA.CO,Vestjysk Bank A/S,Denmark,1326965,3.25,DKK,Financial Services,Banks—Regional,0.71021,0.30718002,,0.028089999999999997,0.21711001,0.04752555137170522,197142962.5734265,0.16855728886498114,1.08,135932582.03335124,140013285.55997846,754059266.3410435,0.6113370091447013,251680274.10866052,3.622,635028519.3157611,147304288.12049487,10.833333,1.055,,,3.2211576,0.89729434,0.747,0.598061,0.5497122108660569,0.4118881118881119,0.5307019903173749,0.529832906401291,,
59,DAB.CO,Danske Andelskassers Bank A/S,Denmark,167084,11.05,DKK,Financial Services,Banks—Regional,0.31669,0.3412,-24921131.791285634,0.01762,0.11174,0.1709335664335664,112464626.98655191,0.6157727272727272,2.332,92359255.51371704,31210029.58579881,256709577.50188267,1.583551371705218,104438187.42980096,12.997,324981372.90155995,119943977.7428725,10.240964,,,,2.8896319999999998,0.85019624,1.067,0.341072,1.877259279182356,1.0297202797202796,1.7637259647660033,1.6846927154384077,0.051612902,
60,SEB-A.ST,Skandinaviska Enskilda Banken s,Sweden,2553489,122.9,SEK,Financial Services,Banks—Regional,0.40276,0.53281,-931700294.4275402,0.00577,0.11690999999999999,1.033547014859236,5589969903.110297,2.584911524031786,0.535,5056724468.996485,2251415765.9295144,87371144390.04814,40.38187665553947,117642241195.08513,80.811,30818670861.690742,58016581016.16614,13.79349,1.555,14.475855,,5.513209,1.5208327,10.379000000000001,1.114427,14.418618849270825,8.764849881342746,13.754527192697411,12.907488434610501,0.033374034,
61,SHB-B.ST,Svenska Handelsbanken ser. B,Sweden,78333,98.4,SEK,Financial Services,Banks—Diversified,0.36330999999999997,0.51230997,-2150496959.599815,0.004520000000000001,0.095369995,0.9384282099002492,5117391795.880378,2.5845635284038875,0.061,5042340649.710003,1859224671.0159225,86711466253.44873,43.79304579874548,179170303011.423,88.25299999999999,21303682659.044243,115370739544.67598,12.163164,0.113,11.143828,,4.1629963,1.1149763000000001,22.545,0.820342,13.177434443098676,9.79027699821768,12.060303982354041,12.110529727334495,0.040553905,
62,SWED-A.ST,Swedbank AB ser A,Sweden,2691712,170.58,SEK,Financial Services,Banks—Regional,0.44661999999999996,0.5533600000000001,821501664.0784613,0.0071200000000000005,0.1337,2.021158606835839,5274801899.896212,4.708032849841954,0.09699999999999999,4784707886.522307,2355814424.6035075,77572632794.48721,69.17294693411321,132056682849.60484,137.114,22186605391.83284,76783392400.0969,9.789946,0.14800000000000002,9.29085,,4.2061496,1.2440743,14.557,0.795895,20.00046872076649,15.805961419160436,19.60407618091046,18.505022469055568,0.017119246,
63,SHB-A.ST,Svenska Handelsbanken ser. A,Sweden,3285866,95.26,SEK,Financial Services,Banks—Diversified,0.36330999999999997,0.51230997,-2150496959.599815,0.004520000000000001,0.095369995,0.9384282099002492,5117391795.880378,2.5845635284038875,0.061,5042340649.710003,1859224671.0159225,86711466253.44873,43.79304579874548,179170303011.423,88.25299999999999,21903574233.630123,113930647029.13513,11.775031,0.113,11.0,,4.2802224,1.0793966999999998,22.263,0.820342,11.83185134855691,8.317095506779712,11.372497119730587,11.245406100459855,0.043049138,
64,AZA.ST,Avanza Bank Holding AB,Sweden,513659,341.3,SEK,Financial Services,Banks—Regional,0.53962004,0.64663005,-172257828.38596594,0.008590001,0.58233,1.2303965417072855,393815059.6626392,2.5451240239086976,0.444,271900583.9315431,212509330.10349277,85490925.92045532,0.5516890687621242,16239795.968607524,23.684,6134675599.769184,5492039902.23824,32.17686,0.605,20.400478,,15.577554999999998,14.410572,13.946,0.7934899999999999,41.37668015715931,18.43216842436954,37.43176459976564,33.58633403247565,0.0024509805,2.24
65,SAVE.ST,Nordnet AB,Sweden,479349,165.3,SEK,Financial Services,Banks—Regional,0.40271,0.50338,-803612127.5566453,0.009609999999999999,0.37540999999999997,0.6958752572548323,442824306.58276963,1.7712977460045491,0.773,306368042.8938584,174122401.95208412,388896721.4550037,1.5555404567073348,6431747800.6369095,19.588,4793640093.533031,10149199369.604445,27.554592,1.21,,,10.825151,8.438841,22.919,,20.485342628972067,11.669453388870835,17.769849225527555,17.364740555178088,0.009370152,
66,UBSG.SW,UBS GROUP N,Switzerland,7844001,15.31,CHF,Financial Services,Banks—Diversified,0.21795,0.27402002,-39913625850.121666,0.007049999699999999,0.13036999,1.81479462080322,37381105734.63361,10.532059280944104,0.207,34901388711.005394,8147177751.349374,411830137620.0238,118.459533437014,395706053959.5938,16.47,58128851710.665085,42665863814.194496,9.091449,0.628,,,1.5550329999999999,0.9295690000000001,1.141,1.122895,17.03255877778794,10.403816668191382,16.5509,15.761395369133654,0.02393273,
67,UBSGEE.SW,UBS GROUP N 2. LINIE,Switzerland,543333,15.35,CHF,Financial Services,Banks—Diversified,0.21795,0.27402002,-39913625850.121666,0.007049999699999999,0.13036999,1.81479462080322,37381105734.63361,10.532059280944104,0.207,34901388711.005394,8147177751.349374,411830137620.0238,118.459533437014,395706053959.5938,16.47,58055912588.79883,42740793709.72098,9.115202,0.628,,,1.5530818000000002,0.93199766,1.143,1.122895,17.037947122861592,14.516201628396304,16.568862048302993,15.824446550178392,0.023901809,
