symbol,shortName,country,averageVolume,currentPrice,currency,sector,industry,profitMargins,operatingMargins,operatingCashflow,returnOnAssets,returnOnEquity,trailingEps,totalRevenue,revenuePerShare,revenueGrowth,grossProfits,netIncomeToCommon,totalCash,totalCashPerShare,totalDebt,bookValue,marketCap,enterpriseValue,trailingPE,earningsQuarterlyGrowth,forwardPE,pegRatio,priceToSalesTrailing12Months,priceToBook,enterpriseToRevenue,beta,fiftyTwoWeekHigh,fiftyTwoWeekLow,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendYield,fiveYearAvgDividendYield
8355.T,SHIZUOKA BANK,Japan,1753961,949.0,JPY,Financial Services,Banks—Regional,0.20863001,0.30069,767549579.935869,0.00328,0.04168,0.6663548183010569,1901078119.9169197,3.3119514080703643,0.217,1901078049.5332148,396617282.30994517,19231465781.072445,33.50178921379523,14189423419.19543,1923.126,4944827318.2871685,-427429755.9647557,12.943968,0.334,10.542102,,2.6010647,0.49346742,-0.225,0.628524,8.679808656739448,6.334896998688372,7.939460514620785,7.863976899467633,0.026511135,2.48
8369.T,BANK OF KYOTO,Japan,177607,5180.0,JPY,Financial Services,Banks—Regional,0.21845,0.29907,,0.00196,0.02101,2.0248039503124757,912252409.213363,12.065788380526193,0.2,862591204.3823777,199281141.5316719,25968042416.448605,343.464872880179,18748131716.426323,15418.372,3559610930.5560985,-3937170548.5342174,23.251638,0.573,19.364487,,3.9020023,0.33596283,-4.316,1.069555,67.8933724249672,41.67217035722552,45.096054032867826,50.47909503896303,0.011299435,1.18
8303.T,SHINSEI BANK,Japan,1207565,1896.0,JPY,Financial Services,Banks—Regional,0.13768,0.13575,-153773490.2815523,0.00422,0.04804,1.8368474654733427,2977710604.095856,13.344919512383301,0.102,2977710608.7493243,409986882.29019356,18990612398.339138,88.20882359385848,18960829011.23308,4284.618,3710543822.921317,2988593911.9137096,9.381494,39.27,8.673773,,1.2461063,0.44251317,1.004,0.530127,18.45027389861893,10.979276290409688,13.656318327289558,14.579205572100916,0.0062992126,
8354.T,FUKUOKA FINANCIAL GROUP INC.,Japan,649896,2080.0,JPY,Financial Services,Banks—Regional,0.18806,0.25666,,0.0017499999,0.05387,0.025530452897152993,2395409111.4579425,12.600982655659283,0.083,2364643453.4372344,450486610.77879786,65264627673.63455,343.3245599105007,64980310154.32413,4836.034,3593767535.296103,3218069304.556623,740.47705,0.477,,,1.500273,0.4301045,1.343,1.068985,22.01308541007638,15.614566777254838,18.57154491320114,18.225024229611908,0.040650405,3.29
8304.T,AOZORA BANK,Japan,580215,2771.0,JPY,Financial Services,Banks—Regional,0.26700002,0.36334,,,,1.5860964277447724,1126012034.9449577,9.648538924465704,0.26,1070170418.949155,300648567.7734742,10432184984.916594,89.39099535529664,9109154417.697891,4221.696,2939174229.6388235,1380007779.5044208,15.878655,0.551,7.6908135,,2.6102512,0.6563713,1.226,0.815375,25.921271506828173,15.496412313864669,23.970553131702793,22.834128960728336,0.046153847,5.27
8410.T,SEVEN BANK LTD,Japan,4296222,261.0,JPY,Financial Services,Banks—Regional,0.18952999,0.26087,338021742.731209,0.022550002,0.11251,0.19995370727567313,1242239660.0677106,1.0556465087570401,-0.085,1242239672.8647478,235445494.3888897,8524799144.836353,7.250703155620706,959695968.3402205,198.403,2789017163.4746695,-5083874434.123292,11.863636,-0.159,10.239309,,2.2451522,1.3155043,-4.093,0.605306,2.517598950698248,1.9540930483758965,2.280770689607283,2.213791378288712,0.041666668,3.28
7167.T,MEBUKI FINANCIAL GROUP INC,Japan,4737044,258.0,JPY,Financial Services,Banks—Regional,0.18008,0.26174,,0.00196,0.04326,0.23843570712136405,2129234310.1960647,1.8474813671784582,0.142,2050761577.0388083,383429428.1796774,70459724313.68492,62.334804783581504,56283589710.26358,839.505,2719909960.6541467,-11628315402.685593,9.834566,0.436,6.579954,,1.2774123,0.30732396,-5.461,0.757126,2.6630198287169193,1.8086721703572253,2.250128420183627,2.2291723627806492,0.042145595,3.59
7337.T,HIROGIN HOLDINGS INC,Japan,486361,669.0,JPY,Financial Services,Banks—Regional,0.21190001,0.34414002,,0.0022,0.04283,0.6239373659439857,917860247.7749555,2.946290610292415,-0.198,1014783242.0337936,194491326.81984413,17896011868.69013,57.41238077308848,11716795923.885872,1608.717,1897410293.5909264,-4459540732.883203,9.745225,-0.059,,,2.0672104,0.41585934,-4.859,0.464082,7.034734974153228,5.080641925777331,5.697122381760665,5.649295727181544,0.038230885,
8359.T,HACHIJUNI BANK,Japan,1063877,405.0,JPY,Financial Services,Banks—Regional,0.20286,0.29148,,0.0023700001,0.03444,0.3416845305146207,1302498423.5996604,2.660556762595478,0.159,1251801095.5944755,264220642.48326513,36765551302.01336,75.09890422035335,38058551289.90071,1775.372,1802050085.1566389,2962147917.6710434,10.772995,1.555,9.27835,,1.3835334,0.2281212,2.274,0.325541,4.062695779646631,3.008394414011264,3.435568243191111,3.4269243353136325,0.03448276,2.93
8385.T,IYO BANK,Japan,482515,602.0,JPY,Financial Services,Banks—Regional,0.16867,0.24245001,107547827.51800014,0.00223,0.025829999,0.5185163181853251,974674328.0830798,3.078032836972455,-0.233,975819535.5296657,164398297.9466399,12871301553.491488,40.6457261785356,9962847956.66112,2314.143,1732652952.6598253,-1251836525.937196,10.552147,,9.066265,,1.7776737,0.2601395,-1.284,0.511972,6.862047681506056,4.771622559987654,5.2663134850705955,5.417626635290486,0.02310231,1.98
7180.T,KYUSHU FINANCIAL GROUP INC,Japan,631923,433.0,JPY,Financial Services,Banks—Regional,0.095369995,0.13746999,-868880671.8987731,0.0013,0.023239998,0.31015546639919755,1430659700.131286,3.252156160790062,-0.094,1430659686.7525651,136441136.47428438,17814502763.886982,40.495679098834955,15663219205.016893,1548.615,1731252742.7234316,-562714077.4979707,12.688644,,8.818738,,1.210108,0.27960467,-0.393,0.519071,5.007931486767996,3.4264794383149444,3.7869154457217804,3.8729112634827554,0.02764977,2.24
8382.T,CHUGOKU BANK,Japan,224011,929.0,JPY,Financial Services,Banks—Diversified,0.15634,0.22929001,,0.00182,0.03018,0.6960206774168658,959286984.3361467,5.103827467016433,0.195,918550976.0049378,150992317.15281224,10433957621.211695,55.772024180233,8936376582.521965,2989.465,1585511929.466183,-35275770.797438465,12.131104,0.43,9.946466,,1.6528025,0.31075794,-0.037,,9.706843607746315,7.29831031556207,8.039696853637835,8.072447453128616,0.023783784,1.91
